skus,name,description,category,images
A-1200-SMALL;A-1200-MED;A-1200-LARGE;A-1200-XLG,Nybuck Waistbelt,"1 3/4"" neoprene nybuck replacement waistbelt used with A-1253BO and A-3253BO.",Arborist Tree Climbing Gear|Arborist Saddles and Harnesses|Modular Saddles,https://images.blairsae.com/products/arborist-tree-climbing-gear/nybuck-waistbelt_1.jpg
A-3253BOS;A-3253BOM;A-3253BOL;A-3253BOXL,Back Pad Lineman's Style for Modular Saddle,"Modular back pads incorporate the waist Dee rings and include a 1 3/4"" neoprene ""nybuck"" waist belt and 2 tool snaps and 2 tool rings. All modular saddles are set-up for use with our Original and Ultralight lower assemblies. 5 1/2"" linesman's style back pad. Chrome leather, nylon webbing.
<table>
<tr><th>SKU</th><th>Size</th><th>Waist</th></tr>
<tr><td>A-3253BOS</td><td>Small</td><td>28 - 32</td></tr>
<tr><td>A-3253BOM</td><td>Medium</td><td>32 - 36</td></tr>
<tr><td>A-3253BOL</td><td>Large</td><td>36 - 40</td></tr>
<tr><td>A-3253BOXL</td><td>X-Large</td><td>40 - 44</td></tr>
</table>",Arborist Tree Climbing Gear|Arborist Saddles and Harnesses|Modular Saddles|Tree Climbing System Components|Tree Saddles,https://images.blairsae.com/products/arborist-tree-climbing-gear/back-pad-linemans-style-for-modular-saddle_1.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/back-pad-linemans-style-for-modular-saddle_2.jpg
A-3253LAS;A-3253LAM;A-3253LAL;A-3253LAXL,Lower Assembly Blair Original,"BLAIR ORIGINAL, LEG STRAP WITH 1 FLOATING DEE TIE-IN. MADE WITH NYLON AND LEATHER.
<table>
<tr><th>SKU</th><th>Size</th><th>Waist</th></tr>
<tr><td>A-3253LAS</td><td>Small</td><td>28 - 32</td></tr>
<tr><td>A-3253LAM</td><td>Medium</td><td>32 - 36</td></tr>
<tr><td>A-3253LAL</td><td>Large</td><td>36 - 40</td></tr>
<tr><td>A-3253LAXL</td><td>X-Large</td><td>40 - 44</td></tr>
</table>
<p>When ordering allow for all seasonal clothing.</p>",Arborist Tree Climbing Gear|Arborist Saddles and Harnesses|Modular Saddles|Tree Climbing System Components|Tree Saddles,https://images.blairsae.com/products/arborist-tree-climbing-gear/lower-assembly-blair-original_1.jpg
A-1253LAS;A-1253LAM;A-1253LAL;A-1253LAXL,Lower Assembly Blair Ultralight,"BLAIR ULTRALIGHT, LEG STRAPS WITH 2 FLOATING DEE TIE-IN. MADE WITH NYLON WEBBING.
<table>
<tr><th>SKU</th><th>Size</th><th>Waist</th></tr>
<tr><td>A-1253LAS</td><td>Small</td><td>28 - 32</td></tr>
<tr><td>A-1253LAM</td><td>Medium</td><td>32 - 36</td></tr>
<tr><td>A-1253LAL</td><td>Large</td><td>36 - 40</td></tr>
<tr><td>A-1253LAXL</td><td>X-Large</td><td>40 - 44</td></tr>
</table>
<p>When ordering allow for all seasonal clothing.</p>",Arborist Tree Climbing Gear|Arborist Saddles and Harnesses|Modular Saddles|Tree Climbing System Components|Tree Saddles,https://images.blairsae.com/products/arborist-tree-climbing-gear/lower-assembly-blair-ultralight_1.jpg
A-3023LAS;A-3023LAM;A-3023LAL;A-3023LAXL,Lower Assembly Euc Man,"ECU MAN LOWER ASSEMBLY IS A SEAT WITH 2 DEE TIE-IN NON FLOATING. MADE WITH NYLON AND LEATHER.
<table>
<tr><th>SKU</th><th>Size</th><th>Waist</th></tr>
<tr><td>A-3023LAS</td><td>Small</td><td>28 - 32</td></tr>
<tr><td>A-3023LAM</td><td>Medium</td><td>32 - 36</td></tr>
<tr><td>A-3023LAL</td><td>Large</td><td>36 - 40</td></tr>
<tr><td>A-3023LAXL</td><td>X-Large</td><td>40 - 44</td></tr>
</table>
<p>When ordering allow for all seasonal clothing.</p>",Arborist Tree Climbing Gear|Arborist Saddles and Harnesses|Modular Saddles|Tree Climbing System Components|Tree Saddles,https://images.blairsae.com/products/arborist-tree-climbing-gear/lower-assembly-euc-man_1.jpg
A-1023LAS;A-1023LAM;A-1023LAL;A-1023LAXL,Lower Assembly Euc Man Ultralight,"EUC MAN ULTRALIGHT LOWER ASSEMBLY IS A SEAT WITH 2 DEE TIE-IN, NON FLOATING. EUC MAN MADE OF NYLON WEBBING.
<table><tr><th>SKU</th><th>Size</th><th>Waist</th></tr><tr><td>A-1023LAS</td><td>Small</td><td>28 - 32</td></tr><tr><td>A-1023LAM</td><td>Medium</td><td>32 - 36</td></tr><tr><td>A-1023LAL</td><td>Large</td><td>36 - 40</td></tr><tr><td>A-1023LAXL</td><td>X-Large</td><td>40 - 44</td></tr></table><p>When ordering allow for all seasonal clothing.</p>",Arborist Tree Climbing Gear|Arborist Saddles and Harnesses|Modular Saddles|Tree Climbing System Components|Tree Saddles,https://images.blairsae.com/products/arborist-tree-climbing-gear/lower-assembly-euc-man-ultralight_1.jpg
A-1103LAS;A-1103LAM;A-1103LAL;A-1103LAXL,Lower Assembly Simpson Ultralight,"Simpson ultralight has a seat with 2 floating Dee tie-in. Made of nylon webbing.
<table>
<tr><th>SKU</th><th>Size</th><th>Waist</th></tr>
<tr><td>A-1103LAS</td><td>Small</td><td>28 - 32</td></tr>
<tr><td>A-1103LAM</td><td>Medium</td><td>32 - 36</td></tr>
<tr><td>A-1103LAL</td><td>Large</td><td>36 - 40</td></tr>
<tr><td>A-1103LAXL</td><td>X-Large</td><td>40 - 44</td></tr>
</table>
<p>When ordering allow for all seasonal clothing.</p>",Arborist Tree Climbing Gear|Arborist Saddles and Harnesses|Modular Saddles|Tree Climbing System Components|Tree Saddles,https://images.blairsae.com/products/arborist-tree-climbing-gear/lower-assembly-simpson-ultralight_1.jpg
A-2319LAS;A-2319LAM;A-2319LAL;A-2319XL,Weaver Saddle Seat,"This Weaver saddle is our least expensive traditional entry level saddle. Seat type with the additional leg straps for comfort and security. Made with webbing lined with 3 inch cotton canvas webbing for support and comfort.
<table><tr><th>SKU</th><th>Size</th><th>Waist</th></tr><tr><td>A-2319S</td><td>Small</td><td>28 - 32</td></tr><tr><td>A-2319M</td><td>Medium</td><td>32 - 36</td></tr><tr><td>A-2319L</td><td>Large</td><td>36 - 40</td></tr><tr><td>A-2319XL</td><td>X-Large</td><td>40 - 44</td></tr></table><p>When ordering allow for all seasonal clothing.</p>",Arborist Tree Climbing Gear|Arborist Saddles and Harnesses|Modular Saddles|Tree Climbing System Components|Tree Saddles,https://images.blairsae.com/products/arborist-tree-climbing-gear/weaver-saddle-seat_1.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/weaver-saddle-seat_2.jpg
A-1036S;A-1036M;A-1036L;A-1036XL,Weaver Wide Back Leg Floating D,"Extra wide 6"" rubberized belting back with 1 floating D Tie-in and padded nylon leg straps.
<table>
<tr><th>SKU</th><th>Size</th><th>Waist</th></tr>
<tr><td>A-1036S</td><td>Small</td><td>28 - 32</td></tr>
<tr><td>A-1036M</td><td>Medium</td><td>32 - 36</td></tr>
<tr><td>A-1036L</td><td>Large</td><td>36 - 40</td></tr>
<tr><td>A-1036XL</td><td>X-Large</td><td>40 - 44</td></tr>
</table>
<p>When ordering allow for all seasonal clothing.</p>",Arborist Tree Climbing Gear|Arborist Saddles and Harnesses|Modular Saddles|Tree Climbing System Components|Tree Saddles,https://images.blairsae.com/products/arborist-tree-climbing-gear/weaver-wide-back-leg-floating-d_1.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/weaver-wide-back-leg-floating-d_2.jpg
A-1035S;A-1035M;A-1035L;A-1035XL,Weaver Wide Back Seat Fixed D,"Extra wide back 6"" waste back with seat strap that floats on waist belt for easy positioning and comfort.
<table>
<tr><th>SKU</th><th>Size</th><th>Waist</th></tr>
<tr><td>A-1035S</td><td>Small</td><td>28 - 32</td></tr>
<tr><td>A-1035M</td><td>Medium</td><td>32 - 36</td></tr>
<tr><td>A-1035L</td><td>Large</td><td>36 - 40</td></tr>
<tr><td>A-1035XL</td><td>X-Large</td><td>40 - 44</td></tr>
</table>
<p>When ordering allow for all seasonal clothing.</p>",Arborist Tree Climbing Gear|Arborist Saddles and Harnesses|Modular Saddles|Tree Climbing System Components|Tree Saddles,https://images.blairsae.com/products/arborist-tree-climbing-gear/weaver-wide-back-seat-fixed-d_1.jpg|https://images.blairsae.com/products/arborist-tree-climbing-gear/weaver-wide-back-seat-fixed-d_2.jpg
